epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2020.52,1.79487,0.91605,0.90532,0.82359,0.73239,0.82696,0.3203,2.0723,0.94585,0.87615,0.000742815,0.000742815,0.000742815
58,2055.68,1.73812,0.90826,0.90629,0.80752,0.79225,0.83379,0.34645,1.99893,0.93798,0.86953,0.000726312,0.000726312,0.000726312
59,2090.93,1.79549,0.90437,0.88584,0.78929,0.7782,0.83975,0.34342,2.03283,0.93307,0.87072,0.000709809,0.000709809,0.000709809
60,2126.16,1.73714,0.90484,0.89248,0.84247,0.73439,0.83412,0.33444,2.06369,0.94441,0.87239,0.000693305,0.000693305,0.000693305
61,2161.54,1.81836,0.91828,0.89656,0.76273,0.7993,0.82273,0.32302,2.11509,0.9688,0.87854,0.000676802,0.000676802,0.000676802
62,2196.64,1.77659,0.91085,0.91282,0.78475,0.77465,0.81117,0.3234,2.04866,0.94928,0.87398,0.000660299,0.000660299,0.000660299
63,2231.77,1.70978,0.87872,0.91477,0.81987,0.76927,0.8012,0.31429,2.05815,0.96957,0.87721,0.000643795,0.000643795,0.000643795
64,2267.32,1.76304,0.90012,0.89285,0.80771,0.74296,0.79826,0.31937,2.10276,0.94543,0.87971,0.000627292,0.000627292,0.000627292
65,2302.51,1.72875,0.87047,0.91048,0.85408,0.76254,0.82186,0.34144,2.04369,0.93169,0.86888,0.000610789,0.000610789,0.000610789
66,2337.73,1.92498,1.03462,0.88128,0.82548,0.73944,0.78437,0.315,2.20059,0.94644,0.88608,0.000594286,0.000594286,0.000594286
67,2372.63,1.73254,0.90372,0.91793,0.82547,0.73277,0.78419,0.30781,2.22219,0.94565,0.89265,0.000577782,0.000577782,0.000577782
68,2407.55,1.75013,0.91503,0.89644,0.82159,0.77113,0.8234,0.34389,2.00866,0.92037,0.86594,0.000561279,0.000561279,0.000561279
69,2442.73,1.68071,0.88051,0.91153,0.82764,0.77774,0.81871,0.34265,2.03059,0.91738,0.86834,0.000544776,0.000544776,0.000544776
70,2478.64,1.73017,0.88366,0.89409,0.82439,0.77688,0.82549,0.34141,2.02644,0.91943,0.86796,0.000528272,0.000528272,0.000528272
71,2513.86,1.6572,0.86072,0.90427,0.8106,0.75704,0.79936,0.33227,2.04324,0.93639,0.87016,0.000511769,0.000511769,0.000511769
72,2549.92,1.64971,0.84197,0.89038,0.8073,0.78181,0.81835,0.34417,2.0546,0.90513,0.87145,0.000495266,0.000495266,0.000495266
73,2586.02,1.68182,0.83115,0.8776,0.80752,0.76817,0.82096,0.34677,2.0146,0.90608,0.86745,0.000478762,0.000478762,0.000478762
74,2621.43,1.64162,0.83418,0.87455,0.80826,0.76761,0.81218,0.33078,2.05679,0.92187,0.86809,0.000462259,0.000462259,0.000462259
75,2656.75,1.60124,0.82178,0.88885,0.82417,0.75919,0.80671,0.3367,2.06892,0.92127,0.86686,0.000445756,0.000445756,0.000445756
76,2693.48,1.65319,0.85329,0.88737,0.84186,0.76855,0.81671,0.33725,2.05607,0.90995,0.87053,0.000429253,0.000429253,0.000429253
77,2729.02,1.67268,0.83005,0.88836,0.84154,0.75704,0.83114,0.34542,2.00314,0.90109,0.86621,0.000412749,0.000412749,0.000412749
78,2764.91,1.59895,0.81074,0.88422,0.86403,0.74296,0.82625,0.32698,2.02805,0.90705,0.87053,0.000396246,0.000396246,0.000396246
79,2800.85,1.75867,0.85531,0.88323,0.83456,0.74296,0.82252,0.32314,2.0531,0.92008,0.8742,0.000379743,0.000379743,0.000379743
80,2836.69,1.65331,0.87675,0.90475,0.80984,0.77465,0.83384,0.3489,1.99532,0.9044,0.86823,0.000363239,0.000363239,0.000363239
81,2872.25,1.72724,0.88587,0.88528,0.80343,0.77716,0.82713,0.3458,2.00048,0.91271,0.86947,0.000346736,0.000346736,0.000346736
82,2907.6,1.55569,0.81482,0.87002,0.79795,0.76481,0.82124,0.34676,1.99783,0.91265,0.8694,0.000330233,0.000330233,0.000330233
83,2943.31,1.55288,0.79777,0.88972,0.79736,0.76204,0.82453,0.34442,2.00202,0.91516,0.86946,0.000313729,0.000313729,0.000313729
84,2978.81,1.66419,0.87981,0.88067,0.84754,0.73944,0.8212,0.3312,2.0427,0.90679,0.87196,0.000297226,0.000297226,0.000297226
85,3014.47,1.53922,0.77597,0.8823,0.84586,0.73944,0.82257,0.33237,2.04365,0.90218,0.87181,0.000280723,0.000280723,0.000280723
86,3050.53,1.54389,0.81027,0.87353,0.82814,0.73944,0.81923,0.34766,2.01802,0.89393,0.86878,0.00026422,0.00026422,0.00026422
